"Term","Type","Beta_Coefficient","Standard_Error","P_Value"
"TL","Linear",-0.198443518901218,0.0483495283164539,0.000217028959691374
"HL","Linear",0.208058528257272,0.0485417307627409,0.000151632311771967
"WT","Linear",-0.182597539284166,0.0497899727959841,0.000858619342464965
"KL","Linear",0.147380624293337,0.0473064544367199,0.00318127133161743
"TL²","Quadratic",-0.0780878008851174,0.209707275913856,0.890740131756136
"HL²","Quadratic",-0.00110749316445996,0.176840500171238,0.617159381022388
"WT²","Quadratic",-0.113984867696742,0.18240603305353,0.441234125899648
"KL²","Quadratic",0.0273172810294443,0.172542973557174,0.430391383259057
"TL × HL","Correlational",0.0214596847187308,0.123951884001563,0.453620834279192
"TL × WT","Correlational",0.0307297490627403,0.160569469538851,0.91313728438774
"TL × KL","Correlational",-0.224548768138053,0.134788113746966,0.0885168914226775
"HL × WT","Correlational",0.0274025032596178,0.160131527784201,0.544702612937317
"HL × KL","Correlational",0.000732224429643223,0.131201365225286,0.86690347113047
"WT × KL","Correlational",0.12742587530868,0.14101762790143,0.502965882378961
