"Trait","Fitness","Analysis","Beta","P_Beta","Gamma","P_Gamma","Selection"
"jaw","Binary","Overall",-0.0096,0.304418094192376,-0.0313,0.0251586536264473,"Stabilizing"
"jaw","Continuous","Overall",-0.141,0.120986764858471,-0.094,0.5205201205739,"None"
"pmx","Binary","Overall",-0.0071,0.422821089471394,-0.0285,0.0516372339658773,"None"
"pmx","Continuous","Overall",-0.1238,0.141933525287161,-0.0339,0.821641737825452,"None"
"nasal","Binary","Overall",-0.0066,0.390007602165232,-0.0078,0.472640972252703,"None"
"nasal","Continuous","Overall",0.0965,0.170745121406817,0.0023,0.983076412350439,"None"
"noseangle","Binary","Overall",0.0076,0.495148207760001,0.0071,0.613512781544538,"None"
"noseangle","Continuous","Overall",-0.0382,0.715297293293075,0.0273,0.763298240313943,"None"
"body","Binary","Overall",0.0274,0.00196431260902905,-0.011,0.203859513068964,"None"
"body","Continuous","Overall",-0.0369,0.706507071079016,-0.0388,0.807259889051506,"None"
"eye","Binary","Overall",-0.0029,0.719847833202889,-0.0019,0.859898136288345,"None"
"eye","Continuous","Overall",0.2084,0.00333763815892503,-0.0554,0.580704735496234,"None"
