"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",0.0163146651418826,0.0130447255317118,0.21414271615466,0.000170164864197693,"Crescent Pond"
"eye","Linear",-0.0202646264317557,0.0120575255301451,0.0943541983714666,0.000145383921910101,"Crescent Pond"
"body²","Quadratic",0.000646667659264304,0.0201156903200202,0.586202472974668,0.000404640997050954,"Crescent Pond"
"eye²","Quadratic",-0.0200090992763637,0.0185657513872763,0.0854791973267384,0.000344687124574152,"Crescent Pond"
"body × eye","Correlational",-0.0410132431339871,0.0153497443587448,0.00439909634994067,0.000235614651878816,"Crescent Pond"
"body","Linear",0.0416273985043509,0.0122261836610111,0.000759828485950997,0.000149479566912774,"Little Lake"
"eye","Linear",0.00983600404878722,0.011130463326932,0.37098064311701,0.000123887213872177,"Little Lake"
"body²","Quadratic",-0.0149374046373655,0.0197634343380795,0.123302430497946,0.00039059333683558,"Little Lake"
"eye²","Quadratic",0.0203673124809858,0.0147611709807603,0.156792240328436,0.00021789216872324,"Little Lake"
"body × eye","Correlational",0.00210187294951622,0.0128199220247007,0.847904114317445,0.000164350400719405,"Little Lake"
