"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.0277679662450882,0.0155875999565248,0.0777571140560335,0.00024297327240465,"Crescent Pond"
"body","Linear",0.0301951060426131,0.0165385766140981,0.0680371621956252,0.000273524516420391,"Crescent Pond"
"jaw²","Quadratic",0.00667942739128789,0.030821536789336,0.86183997902401,0.000949967130056395,"Crescent Pond"
"body²","Quadratic",0.0393693111686374,0.0333228427278011,0.345712891107178,0.00111041184746176,"Crescent Pond"
"jaw × body","Correlational",0.044336961419725,0.0277932527829783,0.150175893114873,0.000772464900258531,"Crescent Pond"
"jaw","Linear",0.0114485408737459,0.0127961256162413,0.392044338405286,0.000163740830786626,"Little Lake"
"body","Linear",0.0468452099186117,0.0135346102288929,0.000620327343584301,0.000183185674048051,"Little Lake"
"jaw²","Quadratic",-0.0214593247848107,0.0225731891949932,0.338114839012906,0.000509548870432957,"Little Lake"
"body²","Quadratic",-0.0114239393378706,0.0238391883383915,0.202020212887761,0.000568306900633303,"Little Lake"
"jaw × body","Correlational",-0.00215779695665778,0.0178539500709244,0.868389165944367,0.00031876353313506,"Little Lake"
