"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",-0.000344083938766334,0.0145752171692115,0.99272708106039,0.000212436955529678,"Crescent Pond"
"eye","Linear",-0.0170215327564876,0.014294111216719,0.232062200967633,0.000204321615475933,"Crescent Pond"
"jaw²","Quadratic",-0.0111350294377762,0.026980492628619,0.53347640143052,0.000727946982482964,"Crescent Pond"
"eye²","Quadratic",-0.00677045361618847,0.0248276070092107,0.610824071905273,0.000616410069803807,"Crescent Pond"
"jaw × eye","Correlational",0.022758247179932,0.020781725475845,0.163371859653226,0.000431880113753385,"Crescent Pond"
"jaw","Linear",-0.00656742393822407,0.0116946563302727,0.570860806503248,0.000136764986683187,"Little Lake"
"eye","Linear",0.00927174978697101,0.0112610023734555,0.407616173559586,0.00012681017445497,"Little Lake"
"jaw²","Quadratic",-0.0280572089075161,0.0185564745469456,0.111850565931682,0.000344342747611439,"Little Lake"
"eye²","Quadratic",0.0155347051467167,0.0142522818590218,0.328901847716468,0.000203127538189003,"Little Lake"
"jaw × eye","Correlational",0.0102628784741527,0.0123690235064778,0.408674245483948,0.0001529927425038,"Little Lake"
