"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.0110706357217729,0.012038393282993,0.35799448759621,0.00014492291283601,"Crescent Pond"
"nasal","Linear",-0.0156422498473941,0.0119668402475114,0.190875936533225,0.000143205265509459,"Crescent Pond"
"jaw²","Quadratic",-0.0320144702555897,0.021146202965028,0.100279944981224,0.000447161899838161,"Crescent Pond"
"nasal²","Quadratic",0.0214775220905232,0.0176512031391961,0.331856051157072,0.000311564972261166,"Crescent Pond"
"jaw × nasal","Correlational",-0.0173382046398711,0.012474519766293,0.182098579896128,0.000155613643399634,"Crescent Pond"
"jaw","Linear",-0.00767646667206099,0.0117363484379502,0.512571647258621,0.000137741874656976,"Little Lake"
"nasal","Linear",-0.000865157205652925,0.01041548742764,0.932821098653019,0.000108482378355328,"Little Lake"
"jaw²","Quadratic",-0.0302780141979573,0.0195621906947113,0.121865865028497,0.000382679304776249,"Little Lake"
"nasal²","Quadratic",-0.0259671177912566,0.0150763604160957,0.0893108426853044,0.000227296643396018,"Little Lake"
"jaw × nasal","Correlational",-0.00505046986805363,0.0122667486266022,0.695588411749844,0.000150473121868248,"Little Lake"
