"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.00984134975147354,0.012004036733745,0.409686632304238,0.0001440968979051,"Crescent Pond"
"noseangle","Linear",0.00685888763314591,0.0122937054128831,0.570776310984118,0.000151135192778751,"Crescent Pond"
"jaw²","Quadratic",-0.0321852339695536,0.0212093377432133,0.098605634570203,0.000449836007505694,"Crescent Pond"
"noseangle²","Quadratic",0.0178064862379982,0.0143327255006746,0.304734488499556,0.000205427020277688,"Crescent Pond"
"jaw × noseangle","Correlational",0.0173247534417072,0.0136746291774754,0.210626020373578,0.000186995483141462,"Crescent Pond"
"jaw","Linear",-0.00748561483732681,0.0116202914976726,0.514205049720037,0.000135031174490882,"Little Lake"
"noseangle","Linear",0.0180166986506441,0.0110071026121854,0.102257604452376,0.000121156307915179,"Little Lake"
"jaw²","Quadratic",-0.0248516984570927,0.0187075828336345,0.168790073268397,0.000349973655477297,"Little Lake"
"noseangle²","Quadratic",-0.000614427632658937,0.0181169234929122,0.862412250150364,0.000328222916848033,"Little Lake"
"jaw × noseangle","Correlational",-0.00958333807714604,0.0124533700979391,0.505492982759971,0.000155086426796243,"Little Lake"
