"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",-0.00739514652538112,0.0207876728573082,0.708619525856261,0.000432127342822469,"Crescent Pond"
"pmx","Linear",0.0209529230452525,0.0210182058925771,0.315915503771307,0.000441764978942763,"Crescent Pond"
"jaw²","Quadratic",0.0119133311360458,0.053775570628663,0.843732036675843,0.00289181199643833,"Crescent Pond"
"pmx²","Quadratic",-0.0057608427615778,0.0540854064244265,0.698825645333063,0.0029252311880954,"Crescent Pond"
"jaw × pmx","Correlational",-0.0327579624523282,0.0499161764610352,0.518192145264242,0.0024916246724892,"Crescent Pond"
"jaw","Linear",0.00065034546821176,0.0131422042249552,0.965459720538149,0.00017271753189043,"Little Lake"
"pmx","Linear",-0.0177280312934665,0.0132467374289666,0.181224340740177,0.000175476052511985,"Little Lake"
"jaw²","Quadratic",-0.03086030950937,0.0244564290165078,0.200114064009033,0.000598116920239484,"Little Lake"
"pmx²","Quadratic",-0.0070638653604909,0.0285936254596039,0.734080147718193,0.00081759541692411,"Little Lake"
"jaw × pmx","Correlational",0.00695195592515717,0.0217812904147763,0.73793625508984,0.000474424612132825,"Little Lake"
