"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0132874885589837,0.0120457191987498,0.269761463338493,0.00014509935101513,"Crescent Pond"
"body","Linear",0.0092153816412544,0.0128570296900216,0.470779238718023,0.000165303212450098,"Crescent Pond"
"nasal²","Quadratic",0.0167798629605789,0.0176963873525764,0.395194031869671,0.000313162125332425,"Crescent Pond"
"body²","Quadratic",-0.0140189968093972,0.0199368839140576,0.439876541592195,0.000397479340202608,"Crescent Pond"
"nasal × body","Correlational",-0.00880201926703153,0.0133185497861137,0.517153016711517,0.000177383768405189,"Crescent Pond"
"nasal","Linear",0.0021647632342284,0.0102818147243992,0.857333397337044,0.000105715714026873,"Little Lake"
"body","Linear",0.0418087375289723,0.0122543541722563,0.000745542198483634,0.000150169196179094,"Little Lake"
"nasal²","Quadratic",-0.0226139028285424,0.0147409276773719,0.107964165393387,0.000217294948789508,"Little Lake"
"body²","Quadratic",-0.0111481753184095,0.0195552120561603,0.139155609409689,0.000382406318561396,"Little Lake"
"nasal × body","Correlational",0.00818523448950257,0.011881848128397,0.349079152359083,0.000141178314946291,"Little Lake"
