"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0171435234813083,0.0120035121193146,0.155500813045795,0.000144084303198533,"Crescent Pond"
"eye","Linear",-0.019080869705327,0.0118423936024569,0.109439735805002,0.000140242286235512,"Crescent Pond"
"nasal²","Quadratic",0.0213398066811371,0.0175745906251711,0.364100213668746,0.000308866235642352,"Crescent Pond"
"eye²","Quadratic",-0.0250667581452192,0.0185237786161084,0.104429727543721,0.000343130374218594,"Crescent Pond"
"nasal × eye","Correlational",0.0223205890315228,0.0125070960402089,0.123062601940122,0.000156427451359009,"Crescent Pond"
"nasal","Linear",0.000250268044716986,0.0103295346145941,0.981572119770342,0.000106699285354099,"Little Lake"
"eye","Linear",0.00992441517432185,0.0112078868342727,0.375397549851216,0.000125616727289864,"Little Lake"
"nasal²","Quadratic",-0.0243025222157375,0.0148334458865043,0.0990386672898999,0.000220031116867852,"Little Lake"
"eye²","Quadratic",0.013812148527768,0.014179266265622,0.359325849805959,0.000201051591831406,"Little Lake"
"nasal × eye","Correlational",-0.000596052124773407,0.0111989499933503,0.928340679122409,0.00012541648095356,"Little Lake"
