"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0141584195218132,0.0119541673266983,0.236452434234448,0.0001429021164747,"Crescent Pond"
"noseangle","Linear",0.00521652309502106,0.0123158346842298,0.676408449407932,0.000151679783969277,"Crescent Pond"
"nasal²","Quadratic",0.0103884695281324,0.0175751169242118,0.888670104298889,0.000308884734899717,"Crescent Pond"
"noseangle²","Quadratic",-0.00581868547348572,0.015402526716399,0.559524608367143,0.000237237829249385,"Crescent Pond"
"nasal × noseangle","Correlational",-0.0472957350620836,0.0146445554196236,0.00899348734591852,0.000214463003438427,"Crescent Pond"
"nasal","Linear",0.00243584141228014,0.0104177394813329,0.812177314266449,0.000108529295900923,"Little Lake"
"noseangle","Linear",0.0184059069445429,0.0111194391100518,0.0991212292594076,0.00012364192612215,"Little Lake"
"nasal²","Quadratic",-0.0253907959584005,0.0149774565734793,0.0841733742296751,0.000224324205410459,"Little Lake"
"noseangle²","Quadratic",-0.00396383457855176,0.0186282445583012,0.704612402460377,0.000347011495323877,"Little Lake"
"nasal × noseangle","Correlational",-0.00823290817640678,0.0117051287444943,0.410033620853988,0.000137010038925186,"Little Lake"
