"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",0.00458887849636931,0.0124830611137573,0.727005993170881,0.0001558268147698,"Crescent Pond"
"body","Linear",0.0104686711129291,0.0129325595929983,0.420453063388544,0.000167251097626453,"Crescent Pond"
"noseangle²","Quadratic",0.00221768284354606,0.0159793368845993,0.786547439908961,0.000255339207271515,"Crescent Pond"
"body²","Quadratic",-0.0215773429691198,0.0205132930009175,0.231393029581842,0.000420795189741489,"Crescent Pond"
"noseangle × body","Correlational",0.0272386712511949,0.0152574049031761,0.0897695453204213,0.000232788404379462,"Crescent Pond"
"noseangle","Linear",0.00737925376680336,0.011495991341046,0.556509149286257,0.000132157816913405,"Little Lake"
"body","Linear",0.0391445737037485,0.012836827169987,0.00243524556032783,0.000164784131792117,"Little Lake"
"noseangle²","Quadratic",0.0106600494285159,0.0194054595383067,0.675891104207959,0.000376571859892859,"Little Lake"
"body²","Quadratic",-0.00769810554471289,0.020893129398147,0.238059668403423,0.000436522856047716,"Little Lake"
"noseangle × body","Correlational",-0.0124073298675618,0.0146434181399792,0.345512480412396,0.000214429694822271,"Little Lake"
