"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",0.00708225153168673,0.01227878875456,0.557734054127014,0.00015076865327911,"Crescent Pond"
"eye","Linear",-0.0170889525906648,0.0117582357596226,0.145826889472901,0.000138256108178868,"Crescent Pond"
"noseangle²","Quadratic",0.0261496366902369,0.0145171723313352,0.143075170006869,0.000210748292497686,"Crescent Pond"
"eye²","Quadratic",-0.0279488976707396,0.0182864860391552,0.024848144434881,0.000334395571660217,"Crescent Pond"
"noseangle × eye","Correlational",-0.0372385705407128,0.0116080624928966,0.0028320317524938,0.000134747114838993,"Crescent Pond"
"noseangle","Linear",0.0166564377172179,0.0113435809462232,0.147427092986977,0.000128676828683518,"Little Lake"
"eye","Linear",0.00582962177220246,0.0115314459607278,0.609103812324281,0.000132974245945186,"Little Lake"
"noseangle²","Quadratic",-0.00904585621520938,0.0185825404278791,0.579304126109806,0.00034531080875376,"Little Lake"
"eye²","Quadratic",0.0108601272251941,0.0145163548971931,0.536027464819847,0.000210724559501261,"Little Lake"
"noseangle × eye","Correlational",0.0216994732249666,0.01343272443963,0.17878579895403,0.000180438085871032,"Little Lake"
