"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.0438169749889709,0.0168921240848969,0.0100850155392839,0.000285343856099554,"Crescent Pond"
"body","Linear",0.0434755520667254,0.0177261072450988,0.0145097051100205,0.000314214878064744,"Crescent Pond"
"pmx²","Quadratic",-0.0321564557713017,0.034254436514672,0.122439839496354,0.0011733664209377,"Crescent Pond"
"body²","Quadratic",0.0276172862413458,0.0365177435603722,0.738013181660223,0.00133354559474111,"Crescent Pond"
"pmx × body","Correlational",0.0159638670867723,0.0301095601663605,0.947407716794428,0.000906585613411682,"Crescent Pond"
"pmx","Linear",0.00961252807191582,0.014503143253439,0.510122122890907,0.000210341164229773,"Little Lake"
"body","Linear",0.0476554712961359,0.0152190897797301,0.00184894271436103,0.000231620693723484,"Little Lake"
"pmx²","Quadratic",0.0246263804090733,0.028422483869772,0.396193555180123,0.000807837589327447,"Little Lake"
"body²","Quadratic",0.00841862340371129,0.0272984935000106,0.455905871017796,0.000745207747370118,"Little Lake"
"pmx × body","Correlational",0.0272746271098362,0.0228035335690464,0.259046052179016,0.000520001143234626,"Little Lake"
