"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.00762799681111273,0.0144801935920865,0.587312725700423,0.000209676006464303,"Crescent Pond"
"eye","Linear",-0.012776137492349,0.0140451610076804,0.358078606312753,0.000197266547731667,"Crescent Pond"
"pmx²","Quadratic",-0.0306355820212394,0.0288539367116193,0.192162809591997,0.000832549663758135,"Crescent Pond"
"eye²","Quadratic",-0.00987201789188781,0.0260337649130533,0.558770296069705,0.000677756915548125,"Crescent Pond"
"pmx × eye","Correlational",0.0159888111761259,0.022711777589496,0.296442425005994,0.000515824841274733,"Crescent Pond"
"pmx","Linear",-0.0157249178613573,0.0125696854156045,0.212792522511089,0.00015799699144726,"Little Lake"
"eye","Linear",0.00448087592924564,0.0120080718700174,0.705966395288695,0.000144193790035502,"Little Lake"
"pmx²","Quadratic",-0.0216748045373552,0.021944597529947,0.275164547399969,0.000481565360751358,"Little Lake"
"eye²","Quadratic",0.01624787861795,0.0148439714829278,0.410193549528004,0.000220343489385974,"Little Lake"
"pmx × eye","Correlational",-0.0170710871391532,0.0115672610718241,0.210012592260022,0.000133801528703738,"Little Lake"
