"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.0164371357672666,0.0121638375409543,0.176264841247365,0.000147958943722729,"Crescent Pond"
"nasal","Linear",-0.0161375662143397,0.0119589158197041,0.175289877337607,0.000143015667582769,"Crescent Pond"
"pmx²","Quadratic",-0.0473964450497505,0.0215209545532216,0.0171175061098697,0.000463151484881831,"Crescent Pond"
"nasal²","Quadratic",0.0190598338580855,0.017554772612699,0.430230680675178,0.000308170041483569,"Crescent Pond"
"pmx × nasal","Correlational",0.00608209972204455,0.0122778996424114,0.39840588258116,0.000150746819629125,"Crescent Pond"
"pmx","Linear",-0.0177269580742638,0.0118195953745394,0.134131668658739,0.000139702834817832,"Little Lake"
"nasal","Linear",0.00205328818370403,0.0104065912672971,0.845197131174513,0.000108297141804585,"Little Lake"
"pmx²","Quadratic",-0.00367731596337821,0.0203278838105512,0.769642966263864,0.000413222860215269,"Little Lake"
"nasal²","Quadratic",-0.0240797106584,0.0149259231209328,0.106991441990016,0.000222783181011996,"Little Lake"
"pmx × nasal","Correlational",0.000868480039873275,0.0113514932348568,0.918804486357832,0.000128856398661,"Little Lake"
