"Trait1","Trait2","Term","Fitness","Analysis","Type","Coefficient","P_Value"
"jaw","pmx","jaw","Binary","Overall","Linear",0.0032,0.768817169714032
"jaw","pmx","pmx","Binary","Overall","Linear",-0.0038,0.730166841436904
"jaw","pmx","jaw²","Binary","Overall","Quadratic",-0.0254,0.210390275266613
"jaw","pmx","pmx²","Binary","Overall","Quadratic",-0.021,0.359888948271689
"jaw","pmx","jaw × pmx","Binary","Overall","Correlational",5e-04,0.970589913030726
"jaw","pmx","jaw","Continuous","Overall","Linear",0.0537,0.493345172102898
"jaw","pmx","pmx","Continuous","Overall","Linear",0.0616,0.424787175740011
"jaw","pmx","jaw²","Continuous","Overall","Quadratic",0.0664,0.684573821314979
"jaw","pmx","pmx²","Continuous","Overall","Quadratic",0.0096,0.955175980470366
"jaw","pmx","jaw × pmx","Continuous","Overall","Correlational",-0.0126,0.928709675588119
"jaw","pmx","jaw","Binary","Group: ","Linear",-0.0074,0.708619525856261
"jaw","pmx","pmx","Binary","Group: ","Linear",0.021,0.315915503771307
"jaw","pmx","jaw","Binary","Group: ","Linear",7e-04,0.965459720538149
"jaw","pmx","pmx","Binary","Group: ","Linear",-0.0177,0.181224340740177
"jaw","pmx","jaw","Continuous","Group: ","Linear",0.2333,0.0556502210630023
"jaw","pmx","pmx","Continuous","Group: ","Linear",-0.0311,0.810235548811386
"jaw","pmx","jaw","Continuous","Group: ","Linear",-0.0381,0.721523357888888
"jaw","pmx","pmx","Continuous","Group: ","Linear",0.0786,0.425430539552422
"jaw","nasal","jaw","Binary","Overall","Linear",6e-04,0.939271086455242
"jaw","nasal","nasal","Binary","Overall","Linear",-0.0062,0.42490553299668
"jaw","nasal","jaw²","Binary","Overall","Quadratic",-0.0324,0.0199903414229423
"jaw","nasal","nasal²","Binary","Overall","Quadratic",-0.0079,0.439363877383669
"jaw","nasal","jaw × nasal","Binary","Overall","Correlational",-0.0079,0.305017495543447
"jaw","nasal","jaw","Continuous","Overall","Linear",0.0837,0.189260520134894
"jaw","nasal","nasal","Continuous","Overall","Linear",-0.0698,0.203195629626555
"jaw","nasal","jaw²","Continuous","Overall","Quadratic",0.0883,0.441631233177984
"jaw","nasal","nasal²","Continuous","Overall","Quadratic",0.0397,0.648133519703258
"jaw","nasal","jaw × nasal","Continuous","Overall","Correlational",0.1253,0.0763193808630605
"jaw","nasal","jaw","Binary","Group: ","Linear",0.0111,0.35799448759621
"jaw","nasal","nasal","Binary","Group: ","Linear",-0.0156,0.190875936533225
"jaw","nasal","jaw","Binary","Group: ","Linear",-0.0077,0.512571647258621
"jaw","nasal","nasal","Binary","Group: ","Linear",-9e-04,0.932821098653019
"jaw","nasal","jaw","Continuous","Group: ","Linear",0.21,0.00912391207329056
"jaw","nasal","nasal","Continuous","Group: ","Linear",-0.031,0.629663468415399
"jaw","nasal","jaw","Continuous","Group: ","Linear",-0.016,0.867313495725778
"jaw","nasal","nasal","Continuous","Group: ","Linear",-0.1186,0.175222873279807
"jaw","noseangle","jaw","Binary","Overall","Linear",0.0011,0.890597916397494
"jaw","noseangle","noseangle","Binary","Overall","Linear",0.0128,0.120304513772739
"jaw","noseangle","jaw²","Binary","Overall","Quadratic",-0.0307,0.0286303913273043
"jaw","noseangle","noseangle²","Binary","Overall","Quadratic",0.0084,0.55936816846636
"jaw","noseangle","jaw × noseangle","Binary","Overall","Correlational",0.0044,0.658680541273149
"jaw","noseangle","jaw","Continuous","Overall","Linear",0.0904,0.157140598470165
