"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.0277775228147339,0.0798547400887743,0.728783032415625,0.0063767795146457,"Crescent Pond"
"eye","Linear",-0.115195295280643,0.0801125254087651,0.154003842505263,0.00641801672737003,"Crescent Pond"
"body²","Quadratic",-0.0359391268627584,0.150202816173545,0.811471713171221,0.0225608859864636,"Crescent Pond"
"eye²","Quadratic",-0.183920937705721,0.162136095919543,0.259831930415822,0.0262881136000311,"Crescent Pond"
"body × eye","Correlational",-0.0922999838122739,0.117657127597457,0.434937779503411,0.0138431996744843,"Crescent Pond"
"body","Linear",0.0762402709112131,0.0989761999537154,0.443060154723981,0.00979628815727786,"Little Lake"
"eye","Linear",-0.198684688682003,0.0743948839207019,0.0089207695058321,0.00553459875357471,"Little Lake"
"body²","Quadratic",-0.0108553234794439,0.207300511937629,0.95835251877693,0.0429735022496031,"Little Lake"
"eye²","Quadratic",0.0977894710343791,0.100894155305031,0.335000341384455,0.0101796305747157,"Little Lake"
"body × eye","Correlational",-0.00172531328858075,0.108551604274019,0.98735379539071,0.0117834507904632,"Little Lake"
