"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.276235946425052,0.0917726179782493,0.00340810301574682,0.00842221341058169,"Crescent Pond"
"body","Linear",0.121174789771638,0.0904045569429303,0.18357813544947,0.00817298391604753,"Crescent Pond"
"jaw²","Quadratic",0.32976722293162,0.199845659732958,0.10261124407244,0.039938287714101,"Crescent Pond"
"body²","Quadratic",-0.168881581231515,0.175439755415887,0.338469482437763,0.0307791077803864,"Crescent Pond"
"jaw × body","Correlational",-0.00441467962358877,0.137851256917537,0.974527233604838,0.0190029690337447,"Crescent Pond"
"jaw","Linear",0.03448606384673,0.102550025419614,0.737405288832018,0.0105165077135635,"Little Lake"
"body","Linear",0.0996764835979919,0.110482045059597,0.369258627817899,0.0122062822805507,"Little Lake"
"jaw²","Quadratic",0.171689328709904,0.180410271356599,0.343790046106534,0.0325478660109619,"Little Lake"
"body²","Quadratic",0.328762272214407,0.2408858516813,0.17567942289394,0.0580259935402253,"Little Lake"
"jaw × body","Correlational",0.432806815479161,0.178075174023195,0.0170406353664152,0.0317107676033912,"Little Lake"
