"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.197004461573177,0.0860218433644761,0.024402562180013,0.00739975753582246,"Crescent Pond"
"eye","Linear",-0.0353067247089682,0.0850130637666683,0.678926304489523,0.0072272210109956,"Crescent Pond"
"jaw²","Quadratic",0.230059361660242,0.167641037358773,0.173570344549457,0.0281035174067256,"Crescent Pond"
"eye²","Quadratic",-0.0734986617700823,0.139806679759042,0.600454141950588,0.0195459077052474,"Crescent Pond"
"jaw × eye","Correlational",0.109551774674542,0.129316924619553,0.3992864533322,0.0167228669930591,"Crescent Pond"
"jaw","Linear",7.37656610114232e-05,0.0920989549438048,0.999362640396406,0.00848221750174099,"Little Lake"
"eye","Linear",-0.200765584360797,0.0745800944876658,0.00840998871026435,0.00556219049378916,"Little Lake"
"jaw²","Quadratic",-0.122442768417764,0.164534147802445,0.458685867970136,0.0270714857930768,"Little Lake"
"eye²","Quadratic",0.100559226371613,0.10043040526894,0.319345252556897,0.0100862663024835,"Little Lake"
"jaw × eye","Correlational",0.0686729265223772,0.084777809866622,0.420033715777723,0.00718727704578112,"Little Lake"
