"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.209955820873347,0.0787423953492314,0.00912391207329056,0.00620036482533466,"Crescent Pond"
"nasal","Linear",-0.0309666973300082,0.0639948609175667,0.629663468415399,0.00409534222385871,"Crescent Pond"
"jaw²","Quadratic",0.182685488438761,0.152924035695195,0.235559950004317,0.0233857606933054,"Crescent Pond"
"nasal²","Quadratic",-0.0222541853130961,0.0963517162552001,0.817894527278553,0.0092836532253226,"Crescent Pond"
"jaw × nasal","Correlational",-0.0444139481586764,0.0893212932981583,0.620304957164586,0.00797829343645562,"Crescent Pond"
"jaw","Linear",-0.0159774145778313,0.0953708728558701,0.867313495725778,0.00909560338929054,"Little Lake"
"nasal","Linear",-0.118592861259602,0.0868226146936202,0.175222873279807,0.00753816642223684,"Little Lake"
"jaw²","Quadratic",-0.000908251745482767,0.165397294101499,0.995630591964006,0.0273562648960978,"Little Lake"
"nasal²","Quadratic",0.134768081269997,0.153051843897,0.38088713304345,0.0234248669202717,"Little Lake"
"jaw × nasal","Correlational",0.236059382646459,0.107082885435139,0.0300142245136012,0.0114667443531151,"Little Lake"
