"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.213202094508847,0.0788849380699519,0.00825309919998509,0.00622283345430014,"Crescent Pond"
"noseangle","Linear",-0.0224448925882516,0.0619968625872282,0.718195501084513,0.00384361097065966,"Crescent Pond"
"jaw²","Quadratic",0.187008723845846,0.156842533245795,0.2364482724766,0.0245995802349582,"Crescent Pond"
"noseangle²","Quadratic",0.0661239610874889,0.0864245691868523,0.446327533699087,0.00746920615913302,"Crescent Pond"
"jaw × noseangle","Correlational",-0.0336128433467107,0.155900740034664,0.82981285648511,0.0243050407433557,"Crescent Pond"
"jaw","Linear",0.00196289073380147,0.0957928208783897,0.983695124283049,0.00917626453183924,"Little Lake"
"noseangle","Linear",0.0213599143640345,0.0762593729458521,0.780019629959255,0.00581549196209456,"Little Lake"
"jaw²","Quadratic",-0.01939015676949,0.168826738863781,0.908815155210609,0.0285024677553794,"Little Lake"
"noseangle²","Quadratic",-0.0934322163196308,0.12612035548894,0.460711191665084,0.0159063440686567,"Little Lake"
"jaw × noseangle","Correlational",-0.0688503226010633,0.096532646883454,0.477526350590556,0.00931855191432562,"Little Lake"
