"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.233316606630825,0.120300491275875,0.0556502210630023,0.0144722082012169,"Crescent Pond"
"pmx","Linear",-0.0311305071151195,0.129255399398044,0.810235548811386,0.0167069582735479,"Crescent Pond"
"jaw²","Quadratic",0.382055560540175,0.344448073763089,0.270480083584671,0.118644475519102,"Crescent Pond"
"pmx²","Quadratic",0.413680593410815,0.367392985703538,0.263339128739148,0.13497760594416,"Crescent Pond"
"jaw × pmx","Correlational",-0.25799228158709,0.320167727200253,0.422604735960712,0.102507373540576,"Crescent Pond"
"jaw","Linear",-0.0380673752199008,0.106483927762443,0.721523357888888,0.0113388268717172,"Little Lake"
"pmx","Linear",0.0786483785961197,0.0982471095390878,0.425430539552422,0.00965249453278551,"Little Lake"
"jaw²","Quadratic",-0.106904176870896,0.207098912919143,0.606967753861471,0.0428899597322907,"Little Lake"
"pmx²","Quadratic",-0.18942623913693,0.220693664691807,0.392969799146815,0.0487056936350997,"Little Lake"
"jaw × pmx","Correlational",0.100068453882893,0.178455625088483,0.576348119892248,0.0318464101257212,"Little Lake"
