"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0428751631407018,0.0677861606643991,0.52869625382068,0.00459496357761973,"Crescent Pond"
"body","Linear",-0.0325943547068278,0.0821640352505338,0.692550150740913,0.00675092868865096,"Crescent Pond"
"nasal²","Quadratic",-0.0421798328829934,0.0993071436950435,0.672098591812661,0.00986190878886802,"Crescent Pond"
"body²","Quadratic",-0.00996543079407207,0.155143721074721,0.9489350916255,0.024069574188911,"Crescent Pond"
"nasal × body","Correlational",-0.0437971292901871,0.0777322903479544,0.574621796110045,0.00604230896273868,"Crescent Pond"
"nasal","Linear",-0.121181786222525,0.0859217672467233,0.161730013213313,0.0073825500868001,"Little Lake"
"body","Linear",0.0937595847640401,0.101681520084391,0.358841924902884,0.0103391315266724,"Little Lake"
"nasal²","Quadratic",0.0854089410441357,0.154032273163522,0.580605608754458,0.0237259411759219,"Little Lake"
"body²","Quadratic",0.00958837950424526,0.217728062329941,0.964970343684171,0.0474055091259505,"Little Lake"
"nasal × body","Correlational",-0.0623114745241127,0.107692407951916,0.564284376662489,0.0115976547304818,"Little Lake"
