"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.032528858537103,0.0658546094924037,0.6225724556167,0.00433682959139699,"Crescent Pond"
"eye","Linear",-0.11170280149731,0.0800804720036428,0.166562349528797,0.00641288199632621,"Crescent Pond"
"nasal²","Quadratic",-0.0387677950485982,0.0987974773094786,0.695747424569968,0.00976094152271693,"Crescent Pond"
"eye²","Quadratic",-0.140304860044615,0.141171339530161,0.323110837776065,0.0199293471047401,"Crescent Pond"
"nasal × eye","Correlational",0.072258251181125,0.0734512832746625,0.328026705751949,0.00539509101469471,"Crescent Pond"
"nasal","Linear",-0.125696139507565,0.0828987262248006,0.132809055943682,0.00687219880969445,"Little Lake"
"eye","Linear",-0.205077018234877,0.0737392950234864,0.00654551972915686,0.00543748363056076,"Little Lake"
"nasal²","Quadratic",0.143996197374226,0.14957054757739,0.338233860044305,0.0223713487026003,"Little Lake"
"eye²","Quadratic",0.0422325486375214,0.101961998493824,0.679703123589409,0.0103962491368545,"Little Lake"
"nasal × eye","Correlational",-0.0750602681719808,0.0838279592734423,0.372931148705257,0.00702712675594991,"Little Lake"
