"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0469170437105142,0.0704940673643262,0.507442076206567,0.00496941353356617,"Crescent Pond"
"noseangle","Linear",-0.0271654189104979,0.0681697521213558,0.691229359110686,0.0046471151042871,"Crescent Pond"
"nasal²","Quadratic",-0.0372089160768291,0.105933722548364,0.726272104145695,0.0112219535729537,"Crescent Pond"
"noseangle²","Quadratic",0.0284800107838729,0.121406291100734,0.815095548102827,0.0147394875188362,"Crescent Pond"
"nasal × noseangle","Correlational",-0.00785423731422487,0.0909010499809869,0.931348280250708,0.00826300088764588,"Crescent Pond"
"nasal","Linear",-0.117174042184061,0.0883736258094811,0.188087881969754,0.00780989773871418,"Little Lake"
"noseangle","Linear",-0.00145328848106273,0.0772797730381049,0.985036087208547,0.005972163320821,"Little Lake"
"nasal²","Quadratic",0.079257435852648,0.159322536156013,0.620060870679805,0.0253836705271842,"Little Lake"
"noseangle²","Quadratic",-0.0448709282578446,0.131933201674478,0.734562476081462,0.0174063697040784,"Little Lake"
"nasal × noseangle","Correlational",0.0142417931979482,0.110169948436291,0.897428415326084,0.012137417538455,"Little Lake"
