"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",-0.00613938252086995,0.0695427431638994,0.929853024999981,0.00483619312676007,"Crescent Pond"
"body","Linear",-0.0193076523552449,0.0871672602139172,0.825215389465201,0.00759813125320075,"Crescent Pond"
"noseangle²","Quadratic",0.0270356706194102,0.10523534388242,0.797871599778697,0.0110744776020511,"Crescent Pond"
"body²","Quadratic",-0.00152727803406572,0.177350569286723,0.993149175503843,0.0314532244263247,"Crescent Pond"
"noseangle × body","Correlational",0.0406279835440258,0.121612964911811,0.739144985136384,0.0147897132346413,"Crescent Pond"
"noseangle","Linear",0.00806229629601903,0.0775983625119865,0.91747183627519,0.00602150586454167,"Little Lake"
"body","Linear",0.0835074547101055,0.105014246745802,0.42849982589789,0.0110279920195882,"Little Lake"
"noseangle²","Quadratic",-0.048625305296665,0.124188317984029,0.696309849382204,0.0154227383237022,"Little Lake"
"body²","Quadratic",0.0583666477987018,0.246617315907339,0.813445598947239,0.0608201005053402,"Little Lake"
"noseangle × body","Correlational",-0.0302344626999541,0.127782705472569,0.813492384668968,0.0163284198178893,"Little Lake"
