"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"noseangle","Linear",-0.0408675490583273,0.066249957035867,0.538913819406129,0.00438905680725423,"Crescent Pond"
"eye","Linear",-0.128392518040369,0.0833080369157338,0.126861868737376,0.00694022901475326,"Crescent Pond"
"noseangle²","Quadratic",0.03507327847362,0.0933466929967134,0.708052706796167,0.00871360509342266,"Crescent Pond"
"eye²","Quadratic",-0.239761592480452,0.169246357430093,0.160242056556873,0.0286443295033547,"Crescent Pond"
"noseangle × eye","Correlational",-0.0964375647456719,0.0818581415608123,0.242042160783199,0.00670075533978998,"Crescent Pond"
"noseangle","Linear",0.106472641653015,0.0778616191391896,0.174742023739963,0.00606243173497622,"Little Lake"
"eye","Linear",-0.23990264146657,0.0792011322385175,0.00316758974170512,0.00627281934786313,"Little Lake"
"noseangle²","Quadratic",-0.05363251405905,0.124481743835381,0.667598862186228,0.0154957045482974,"Little Lake"
"eye²","Quadratic",0.146683741642826,0.136127665684931,0.284084867889082,0.0185307413648283,"Little Lake"
"noseangle × eye","Correlational",-0.0653180638813922,0.107212966733225,0.543885680221221,0.0114946202357396,"Little Lake"
