"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.25709096369464,0.115144073186155,0.0281011904751849,0.0132581575898986,"Crescent Pond"
"body","Linear",0.13538823347501,0.105569264675502,0.203049681637733,0.0111448696441263,"Crescent Pond"
"pmx²","Quadratic",0.354868805898625,0.288590227294058,0.222216043029893,0.0832843192896359,"Crescent Pond"
"body²","Quadratic",-0.0567403480810779,0.265034027373205,0.830991922340835,0.0702430356656606,"Crescent Pond"
"pmx × body","Correlational",0.0104998368204012,0.233658132359548,0.964263127567263,0.0545961228177521,"Crescent Pond"
"pmx","Linear",0.13129445880561,0.100138427278767,0.193007840837175,0.0100277046178649,"Little Lake"
"body","Linear",0.161563015313356,0.116928661566008,0.170331922643475,0.0136723118956181,"Little Lake"
"pmx²","Quadratic",-0.156723971699321,0.192629283452486,0.417995560983189,0.0371060408434181,"Little Lake"
"body²","Quadratic",-0.034663961555874,0.294393075038378,0.906527469491528,0.086667282630552,"Little Lake"
"pmx × body","Correlational",-0.0960857295934288,0.179569588709458,0.593893426443301,0.0322452371892838,"Little Lake"
