"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.130308284533969,0.0928059440897441,0.163810274325991,0.00861294325838872,"Crescent Pond"
"eye","Linear",-0.0690995007794586,0.0853633446625439,0.420425285454246,0.00728690061197626,"Crescent Pond"
"pmx²","Quadratic",0.427299344491668,0.252343676384342,0.0940560038462932,0.0636773310111654,"Crescent Pond"
"eye²","Quadratic",-0.038636249332645,0.144900436499084,0.790392164252938,0.0209961364976251,"Crescent Pond"
"pmx × eye","Correlational",0.189765754616202,0.161519120554375,0.243323110923214,0.0260884263046587,"Crescent Pond"
"pmx","Linear",-0.0608198494551034,0.096651247883249,0.530697892534853,0.00934146371738925,"Little Lake"
"eye","Linear",-0.22638052051034,0.0848281455037789,0.00896974632989487,0.00719581426961029,"Little Lake"
"pmx²","Quadratic",-0.157105379087586,0.194211722167739,0.420660365190867,0.037718193027359,"Little Lake"
"eye²","Quadratic",0.105588169844327,0.136164816186354,0.440087944095249,0.0185408571670636,"Little Lake"
"pmx × eye","Correlational",0.00241602168610412,0.127767339216851,0.984954667821187,0.016324492970554,"Little Lake"
