"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.174372552945819,0.087617208693188,0.0496767961166051,0.00767677525918567,"Crescent Pond"
"nasal","Linear",-0.0629094739559921,0.0662742158414795,0.345103255619973,0.00439227168540301,"Crescent Pond"
"pmx²","Quadratic",0.315893242606748,0.214084089454214,0.143757721389675,0.0458319973574398,"Crescent Pond"
"nasal²","Quadratic",-0.022758178149148,0.095798907603598,0.812792519495079,0.00917743069804271,"Crescent Pond"
"pmx × nasal","Correlational",-0.0292988799942493,0.0961336409031155,0.761284490324698,0.00924167691328916,"Crescent Pond"
"pmx","Linear",0.0801545343759536,0.0877377483334504,0.363280401493405,0.00769791248262388,"Little Lake"
"nasal","Linear",-0.127347105768078,0.0865700897663418,0.144623055050978,0.00749438044215248,"Little Lake"
"pmx²","Quadratic",-0.152600893836566,0.158315132962794,0.337647617703638,0.0250636813250271,"Little Lake"
"nasal²","Quadratic",0.115766754848433,0.153729449678706,0.453360585706422,0.0236327436985178,"Little Lake"
"pmx × nasal","Correlational",0.0408666729564238,0.0989791241456714,0.6806644713217,0.00979686701664423,"Little Lake"
