"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"pmx","Linear",0.161688640108727,0.0882330744329554,0.0702564858711842,0.00778507542389145,"Crescent Pond"
"noseangle","Linear",0.0120234677692669,0.0645395216784928,0.852641271875758,0.00416534985848864,"Crescent Pond"
"pmx²","Quadratic",0.345383586896893,0.21588630775615,0.113344616527523,0.0466068978765832,"Crescent Pond"
"noseangle²","Quadratic",0.0819917829405346,0.0914280047271917,0.372363554992989,0.00835908004839538,"Crescent Pond"
"pmx × noseangle","Correlational",-0.0158961580373208,0.158743277554612,0.920470958127795,0.0251994281687806,"Crescent Pond"
"pmx","Linear",0.114428070484922,0.106791543357172,0.286684146695299,0.0114044337326068,"Little Lake"
"noseangle","Linear",0.07769094295878,0.0921428010969769,0.401280478150528,0.00849029579399704,"Little Lake"
"pmx²","Quadratic",-0.0805667982979817,0.221390041470311,0.716766844598096,0.0490135504622262,"Little Lake"
"noseangle²","Quadratic",-0.072817783545168,0.154280439374204,0.638068560510552,0.0238024539734975,"Little Lake"
"pmx × noseangle","Correlational",0.0214428750869183,0.139339656185993,0.878037825619656,0.0194155397860307,"Little Lake"
