"Trait","Fitness","Analysis","S"
"jaw","Binary","Overall",0.0369525962244975
"jaw","Binary","Weighted Mean",0.0369311791342258
"jaw","Binary","Crescent Pond",0.0573499397655478
"jaw","Binary","Little Lake",0.018212233108389
"jaw","Continuous","Overall",0.205427009165109
"jaw","Continuous","Weighted Mean",0.211530049556723
"jaw","Continuous","Crescent Pond",0.324935130499448
"jaw","Continuous","Little Lake",0.107565679360514
"eye","Binary","Overall",0.010129787540103
"eye","Binary","Weighted Mean",0.0101838833416811
"eye","Binary","Crescent Pond",0.00416904283889292
"eye","Binary","Little Lake",0.0156980022815445
"eye","Continuous","Overall",-0.148600879298229
"eye","Continuous","Weighted Mean",-0.153114493252233
"eye","Continuous","Crescent Pond",-0.20806753603963
"eye","Continuous","Little Lake",-0.102736164201505
"body","Binary","Overall",-0.0255698971808109
"body","Binary","Weighted Mean",-0.0254785378035767
"body","Binary","Crescent Pond",-0.0538886608747751
"body","Binary","Little Lake",0.000566508218529139
"body","Continuous","Overall",0.00341133717896455
"body","Continuous","Weighted Mean",-0.000261326125237785
"body","Continuous","Crescent Pond",-0.106516200608373
"body","Continuous","Little Lake",0.0971480757647487
"nasal","Binary","Overall",-0.0177023481126581
"nasal","Binary","Weighted Mean",-0.0179253490444364
"nasal","Binary","Crescent Pond",-0.0459803501158854
"nasal","Binary","Little Lake",0.00779413806320237
"nasal","Continuous","Overall",-0.117612101319647
"nasal","Continuous","Weighted Mean",-0.124033124790444
"nasal","Continuous","Crescent Pond",-0.211371699318266
"nasal","Continuous","Little Lake",-0.0439652846272198
"mouth","Binary","Overall",-0.0127688657840682
"mouth","Binary","Weighted Mean",-0.0121243439941684
"mouth","Binary","Crescent Pond",-0.0095029477696486
"mouth","Binary","Little Lake",-0.0145275150448073
"mouth","Continuous","Overall",-0.104199685182385
"mouth","Continuous","Weighted Mean",-0.10298874308062
"mouth","Continuous","Crescent Pond",-0.0548666373774037
"mouth","Continuous","Little Lake",-0.147104794763321
"SL","Binary","Overall",-0.0475029039525889
"SL","Binary","Weighted Mean",-0.0476176674693167
"SL","Binary","Crescent Pond",-0.071173920033334
"SL","Binary","Little Lake",-0.0260224184589328
"SL","Continuous","Overall",-0.0604799263725375
"SL","Continuous","Weighted Mean",-0.0631817314108729
"SL","Continuous","Crescent Pond",-0.105553543280484
"SL","Continuous","Little Lake",-0.0243372748973133
